,country,country_iso,capacity,population,score
0,Afghanistan,AFG,30,38928346.0,0.017940754050340325
1,Algeria,DZA,9851,43851044.0,0.5200296664071273
2,Angola,AGO,700,32866272.0,0.31159654379044877
3,Argentina,ARG,25450,45195774.0,0.6013308051666627
4,Armenia,ARM,1536,2963243.0,0.5940039348951573
5,Aruba,ABW,60,106766.0,0.601153229527005
6,Australia,AUS,41678,25499884.0,0.6956064717724944
7,Austria,AUT,7869,9006398.0,0.6401955270410291
8,Azerbaijan,AZE,2605,10139177.0,0.5319072849093666
9,Bahrain,BHR,6587,1701575.0,0.7718917686468773
10,Bangladesh,BGD,15555,164689383.0,0.4433719621098741
11,Barbados,BRB,10,287375.0,0.35502960221003643
12,Belarus,BLR,5456,9449323.0,0.6035479964273768
13,Belgium,BEL,9213,11589623.0,0.63183568396686
14,Benin,BEN,25,12123200.0,0.10502293141226086
15,Bolivia,BOL,1239,11673021.0,0.4536970540152364
16,"Bonaire, Sint Eustatius and Saba",BES,11,25987.0,0.5760794461817097
17,Bosnia and Herzegovina,BIH,1946,3280819.0,0.6059288104544591
18,Botswana,BWA,183,2351627.0,0.42623496989321524
19,Brazil,BRA,47980,212559417.0,0.5204532973044509
20,Brunei,BRN,267,437479.0,0.6084535682824807
21,Bulgaria,BGR,3829,6948445.0,0.5994174555787413
22,Burkina Faso,BFA,121,20903273.0,0.1963385220228535
23,Cambodia,KHM,1262,16718965.0,0.423539253270539
24,Canada,CAN,41151,37742154.0,0.6597900615094379
25,Central African Republic,CAF,25,4829767.0,0.18644660837521435
26,Chad,TCD,50,16425864.0,0.13947527387172373
27,Chile,CHL,20403,19116201.0,0.6579033878868609
28,China,CHN,1012757,1439323776.0,0.621041762645671
29,Colombia,COL,8001,50882891.0,0.4884682962394658
30,Congo,COG,717,5518087.0,0.4715920370149811
31,Costa Rica,CRI,399,5094118.0,0.4268097037100885
32,Croatia,HRV,2313,4105267.0,0.6013805662274947
33,Cuba,CUB,676,11326616.0,0.40275946617580194
34,Curaçao,CUW,47,164093.0,0.5415232708528649
35,Cyprus,CYP,156,1207359.0,0.4710944721125656
36,Czech Republic,CZE,4843,10700000.0,0.5820064056356306
37,Côte d'Ivoire,CIV,1469,26378274.0,0.39663348678351573
38,Denmark,DNK,7032,5792202.0,0.6692998443080626
39,Djibouti,DJI,89,988000.0,0.43918123814415144
40,Dominican Republic,DOM,3236,10847910.0,0.5451198119388649
41,Ecuador,ECU,131,17643054.0,0.21836566679104122
42,Egypt,EGY,27395,102334404.0,0.5355425281808025
43,El Salvador,SLV,249,6486205.0,0.3637196722955877
44,Estonia,EST,2556,1326535.0,0.7101667983504139
45,Ethiopia,ETH,499,114963588.0,0.1708676743551797
46,Faroe Islands,FRO,25,48865.0,0.5928464496302811
47,Fiji,FJI,10,896445.0,0.25437843206169775
48,Finland,FIN,8565,5540720.0,0.6906750037927406
49,France,FRA,28108,65273511.0,0.5775984446481016
50,Georgia,GEO,878,3989167.0,0.5182190170021068
51,Germany,DEU,99223,83783942.0,0.6671030470848498
52,Ghana,GHA,3189,31072940.0,0.45071956054061224
53,Greece,GRC,12459,10423054.0,0.6679253761419424
54,Guadeloupe,GLP,111,400124.0,0.5386958025414732
55,Guam,GUM,146,168775.0,0.6393147237784735
56,Guatemala,GTM,955,17915568.0,0.3927623370111612
57,Holy See,Vat,100,801.0,1.0
58,Honduras,HND,712,9904607.0,0.4192189921188199
59,Hong Kong,HKG,3873,7496981.0,0.5937059257937006
60,Hungary,HUN,4258,9660351.0,0.5796600108766309
61,India,IND,380282,0.0,1.0
62,Indonesia,IDN,45922,273523615.0,0.49426473902343426
63,Iran,IRN,41403,83992949.0,0.5895557913361463
64,Iraq,IRQ,12466,40222493.0,0.5485006297909881
65,Ireland,IRL,7865,4937786.0,0.6933243980799496
66,Isle of Man,IMN,87,85033.0,0.6541630120478539
67,Israel,ISR,11983,8655535.0,0.6809191173134113
68,Italy,ITA,50397,60461826.0,0.6360305459500388
69,Jamaica,JAM,585,2961167.0,0.5086607738888693
70,Japan,JPN,133778,126476461.0,0.6571053391799803
71,Jordan,JOR,4195,10203134.0,0.5735048434352041
72,Kazakhstan,KAZ,9541,18776707.0,0.5922418925233848
73,Kenya,KEN,689,53771296.0,0.2666406114799418
74,Kosovo,BGR,896,1873000.0,0.5869036571960436
75,Kuwait,KWT,10215,4270571.0,0.7292978751861313
76,Kyrgyzstan,KGZ,400,6524195.0,0.4051402072887611
77,Laos,LAO,690,7275560.0,0.44373422124819983
78,Latvia,LVA,1128,1886198.0,0.6066542969380815
79,Lebanon,LBN,1200,6825445.0,0.4983440213189437
80,Lesotho,LSO,30,2142249.0,0.2745005219528957
81,Libya,LBY,5813,6871292.0,0.6373421732604335
82,Lithuania,LTU,1650,2722289.0,0.6078415356734052
83,Luxembourg,LUX,98,625978.0,0.48808011719078903
84,Macao,MAC,334,649335.0,0.5933222394790789
85,Madagascar,MDG,60,27691018.0,0.10940071578640435
86,Malawi,MWI,151,19129952.0,0.22377750500385934
87,Malaysia,MYS,18495,32365999.0,0.6026295714881906
88,Mali,MLI,80,20250833.0,0.16253706602889234
89,Malta,MLT,205,441543.0,0.5842575068946413
90,Martinique,MTQ,14,375265.0,0.3611897776682562
91,Mauritania,MRT,195,4649658.0,0.37154338984716423
92,Mauritius,MUS,115,1271768.0,0.43951877301720355
93,Mexico,MEX,66652,128932753.0,0.5937647678715305
94,Moldova,MDA,950,4033963.0,0.5242040853673747
95,Mongolia,MNG,1005,3278290.0,0.5475351265653872
96,Montenegro,MNE,343,628066.0,0.5986211468968591
97,Morocco,MAR,5021,36910560.0,0.47564782404034517
98,Mozambique,MOZ,347,31255435.0,0.2539562451490974
99,Myanmar,MMR,2296,54409800.0,0.37208958497779815
100,Namibia,NAM,76,2540905.0,0.3416401606747332
101,Nepal,NPL,25,29136808.0,0.027442649281972518
102,Netherlands,NLD,21818,17134872.0,0.6735165541826258
103,New Caledonia,NCL,42,285498.0,0.4825755369032448
104,New Zealand,NZL,2604,4822233.0,0.5976237412270402
105,Nicaragua,NIC,489,6624554.0,0.42156366105296433
106,Nigeria,NGA,5055,206139589.0,0.32406647169910424
107,North Korea,PRK,700,25778816.0,0.33308608554322294
108,North Macedonia,MKD,667,2083374.0,0.5513731256163772
109,Norway,NOR,5269,5421241.0,0.6496196719271196
110,Oman,OMN,13481,5106626.0,0.7380242010107453
111,Pakistan,PAK,22081,220892340.0,0.4483902473557142
112,Palestine,PSE,140,4803000.0,0.33935655649097646
113,Panama,PAN,1046,4314767.0,0.5267673772166414
114,Peru,PER,6270,32971854.0,0.5052854371781295
115,Philippines,PHL,10829,109581078.0,0.44737466008645493
116,Poland,POL,29276,37846611.0,0.629422250293025
117,Portugal,PRT,7266,10196709.0,0.6221598839928733
118,Puerto Rico,PRI,229,2860853.0,0.4287319818301491
119,Qatar,QAT,6070,2881053.0,0.7180700432003755
120,Romania,ROU,10179,19237691.0,0.5958227610050219
121,Russia,RUS,81907,145934462.0,0.6010401423582615
122,Saint Kitts and Nevis,KNA,38,53192.0,0.6223843609472505
123,Saudi Arabia,SAU,21623,34813871.0,0.6100037658134345
124,Senegal,SEN,1376,16743927.0,0.43105866333074394
125,Serbia,SRB,5938,8737371.0,0.6179682227560028
126,Singapore,SGP,6154,5850342.0,0.6566166727643438
127,Slovakia,SVK,1404,5459642.0,0.5319883475256907
128,Slovenia,SVN,1444,2078938.0,0.619896652036542
129,Somalia,SOM,10,15893222.0,0.0
130,South Africa,ZAF,16812,59308690.0,0.5406051708005953
131,South Korea,KOR,49359,51269185.0,0.6487804524200194
132,South Sudan,SSD,20,11193725.0,0.09233803834719696
133,Spain,ESP,64843,46754778.0,0.6810750537187437
134,Sri Lanka,LKA,841,21413249.0,0.36573743392600944
135,Sudan,SDN,212,43849260.0,0.1804084026072119
136,Sweden,SWE,13880,10099265.0,0.6802729398504821
137,Switzerland,CHE,96,8654622.0,0.25387867020771043
138,Syria,SYR,4754,17500658.0,0.5368371791072696
139,Taiwan,TWN,21730,23816775.0,0.6440271010553192
140,Tajikistan,TJK,446,9537645.0,0.38117512795228065
141,Tanzania,TZA,240,59734218.0,0.16403254172740658
142,Thailand,THA,32645,69799978.0,0.5849054334341376
143,Togo,TGO,115,8278724.0,0.2737840775026098
144,Trinidad and Tobago,TTO,1435,1399488.0,0.6543567405397029
145,Tunisia,TUN,4828,11818619.0,0.5729348760380815
146,Turkey,TUR,43425,84339067.0,0.5934105262494765
147,Turkmenistan,TKM,2833,6031200.0,0.5852887173051727
148,Uganda,UGA,57,45741007.0,0.060459208890845516
149,Ukraine,UKR,17147,43733762.0,0.5693027697665239
150,United Arab Emirates,ARE,35205,9890402.0,0.7644670833092834
151,United Kingdom,GBR,62799,67886011.0,0.6452485171572171
152,United States,USA,727412,331002651.0,0.7218004075400042
153,Uruguay,URY,2081,3473730.0,0.6068079401887557
154,Uzbekistan,UZB,7772,33469203.0,0.5229605440234044
155,Venezuela,VEN,5723,28435940.0,0.5103033791777007
156,Vietnam,VNM,34655,97338579.0,0.560769001448824
157,Western Sahara,ESH,658,597339.0,0.6606968672982606
158,Yemen,YEM,346,29825964.0,0.2578426841461852
159,Zambia,ZMB,268,18383955.0,0.2780542628505755
160,Zimbabwe,ZWE,1060,14862924.0,0.41851797559328396
161,Åland Islands,ALA,14,29789.0,0.5853354227849052
